銷售單號,SKU,客戶,出貨量,出貨日
SO-20250626-02135,S-1031,C-019,1,2025-06-26
SO-20250626-02136,S-1033,C-027,4,2025-06-26
SO-20250626-02137,S-1034,C-030,7,2025-06-26
SO-20250626-02138,S-1035,C-022,3,2025-06-26
SO-20250626-02139,S-1035,C-017,7,2025-06-26
SO-20250626-02140,S-1035,C-025,3,2025-06-26
SO-20250626-02141,S-1035,C-034,8,2025-06-26
SO-20250626-02142,S-1035,C-019,2,2025-06-26
SO-20250626-02143,S-1036,C-039,4,2025-06-26
SO-20250626-02144,S-1037,C-001,6,2025-06-26
SO-20250626-02145,S-1037,C-017,4,2025-06-26
SO-20250626-02146,S-1039,C-031,4,2025-06-26
SO-20250626-02147,S-1041,C-033,1,2025-06-26
SO-20250626-02148,S-1042,C-031,3,2025-06-26
SO-20250626-02149,S-1042,C-014,4,2025-06-26
SO-20250626-02150,S-1045,C-014,6,2025-06-26
SO-20250626-02151,S-1046,C-003,4,2025-06-26
SO-20250626-02152,S-1046,C-025,8,2025-06-26
SO-20250626-02153,S-1046,C-012,2,2025-06-26
SO-20250626-02154,S-1047,C-008,3,2025-06-26
SO-20250626-02155,S-1047,C-006,6,2025-06-26
SO-20250626-02156,S-1048,C-013,6,2025-06-26
SO-20250626-02157,S-1048,C-027,1,2025-06-26
SO-20250626-02158,S-1048,C-024,2,2025-06-26
SO-20250626-02159,S-1048,C-002,4,2025-06-26
SO-20250626-02160,S-1048,C-033,5,2025-06-26
SO-20250626-02161,S-1048,C-024,4,2025-06-26
SO-20250626-02162,S-1048,C-039,2,2025-06-26
SO-20250626-02163,S-1049,C-013,3,2025-06-26
SO-20250626-02164,S-1049,C-005,2,2025-06-26
SO-20250627-02165,S-1003,C-007,3,2025-06-27
SO-20250627-02166,S-1003,C-011,4,2025-06-27
SO-20250627-02167,S-1003,C-003,5,2025-06-27
SO-20250627-02168,S-1004,C-032,1,2025-06-27
SO-20250627-02169,S-1004,C-036,4,2025-06-27
SO-20250627-02170,S-1004,C-019,4,2025-06-27
SO-20250627-02171,S-1004,C-004,2,2025-06-27
SO-20250627-02172,S-1005,C-015,2,2025-06-27
SO-20250627-02173,S-1005,C-022,3,2025-06-27
SO-20250627-02174,S-1005,C-031,2,2025-06-27
SO-20250627-02175,S-1006,C-003,3,2025-06-27
SO-20250627-02176,S-1006,C-012,4,2025-06-27
SO-20250627-02177,S-1006,C-005,7,2025-06-27
SO-20250627-02178,S-1008,C-035,4,2025-06-27
SO-20250627-02179,S-1008,C-007,4,2025-06-27
SO-20250627-02180,S-1010,C-028,4,2025-06-27
SO-20250627-02181,S-1011,C-035,5,2025-06-27
SO-20250627-02182,S-1011,C-004,5,2025-06-27
SO-20250627-02183,S-1011,C-001,4,2025-06-27
SO-20250627-02184,S-1011,C-030,1,2025-06-27
SO-20250627-02185,S-1012,C-024,4,2025-06-27
SO-20250627-02186,S-1013,C-017,1,2025-06-27
SO-20250627-02187,S-1014,C-015,2,2025-06-27
SO-20250627-02188,S-1015,C-014,3,2025-06-27
SO-20250627-02189,S-1015,C-003,6,2025-06-27
SO-20250627-02190,S-1016,C-010,4,2025-06-27
SO-20250627-02191,S-1016,C-006,1,2025-06-27
SO-20250627-02192,S-1019,C-040,3,2025-06-27
SO-20250627-02193,S-1019,C-018,1,2025-06-27
SO-20250627-02194,S-1019,C-031,2,2025-06-27
SO-20250627-02195,S-1020,C-013,5,2025-06-27
SO-20250627-02196,S-1021,C-030,7,2025-06-27
SO-20250627-02197,S-1022,C-017,5,2025-06-27
SO-20250627-02198,S-1022,C-034,5,2025-06-27
SO-20250627-02199,S-1022,C-003,8,2025-06-27
SO-20250627-02200,S-1022,C-012,2,2025-06-27
SO-20250627-02201,S-1022,C-001,4,2025-06-27
SO-20250627-02202,S-1023,C-014,3,2025-06-27
SO-20250627-02203,S-1023,C-034,2,2025-06-27
SO-20250627-02204,S-1024,C-008,2,2025-06-27
SO-20250627-02205,S-1024,C-040,4,2025-06-27
SO-20250627-02206,S-1024,C-010,5,2025-06-27
SO-20250627-02207,S-1024,C-016,5,2025-06-27
SO-20250627-02208,S-1024,C-026,4,2025-06-27
SO-20250627-02209,S-1024,C-034,5,2025-06-27
SO-20250627-02210,S-1024,C-019,7,2025-06-27
SO-20250627-02211,S-1028,C-014,5,2025-06-27
SO-20250627-02212,S-1029,C-003,1,2025-06-27
SO-20250627-02213,S-1031,C-013,2,2025-06-27
SO-20250627-02214,S-1031,C-002,6,2025-06-27
SO-20250627-02215,S-1031,C-036,7,2025-06-27
SO-20250627-02216,S-1032,C-004,7,2025-06-27
SO-20250627-02217,S-1033,C-036,6,2025-06-27
SO-20250627-02218,S-1034,C-013,2,2025-06-27
SO-20250627-02219,S-1034,C-004,3,2025-06-27
SO-20250627-02220,S-1034,C-021,3,2025-06-27
SO-20250627-02221,S-1036,C-032,5,2025-06-27
SO-20250627-02222,S-1037,C-013,5,2025-06-27
SO-20250627-02223,S-1037,C-028,6,2025-06-27
SO-20250627-02224,S-1038,C-006,5,2025-06-27
SO-20250627-02225,S-1040,C-007,5,2025-06-27
SO-20250627-02226,S-1040,C-034,4,2025-06-27
SO-20250627-02227,S-1040,C-030,4,2025-06-27
SO-20250627-02228,S-1041,C-038,2,2025-06-27
SO-20250627-02229,S-1042,C-008,5,2025-06-27
SO-20250627-02230,S-1042,C-019,5,2025-06-27
SO-20250627-02231,S-1042,C-033,2,2025-06-27
SO-20250627-02232,S-1042,C-004,3,2025-06-27
SO-20250627-02233,S-1044,C-024,2,2025-06-27
SO-20250627-02234,S-1044,C-005,2,2025-06-27
SO-20250627-02235,S-1044,C-003,4,2025-06-27
SO-20250627-02236,S-1044,C-015,1,2025-06-27
SO-20250627-02237,S-1044,C-023,6,2025-06-27
SO-20250627-02238,S-1045,C-035,5,2025-06-27
SO-20250627-02239,S-1045,C-008,1,2025-06-27
SO-20250627-02240,S-1045,C-003,11,2025-06-27
SO-20250627-02241,S-1045,C-007,2,2025-06-27
SO-20250627-02242,S-1048,C-014,3,2025-06-27
SO-20250627-02243,S-1049,C-016,3,2025-06-27
SO-20250627-02244,S-1049,C-031,4,2025-06-27
SO-20250627-02245,S-1050,C-007,6,2025-06-27
SO-20250627-02246,S-1050,C-033,5,2025-06-27
SO-20250628-02247,S-1001,C-022,8,2025-06-28
SO-20250628-02248,S-1002,C-017,1,2025-06-28
SO-20250628-02249,S-1002,C-022,6,2025-06-28
SO-20250628-02250,S-1002,C-019,6,2025-06-28
SO-20250628-02251,S-1003,C-031,7,2025-06-28
SO-20250628-02252,S-1003,C-031,1,2025-06-28
SO-20250628-02253,S-1004,C-012,5,2025-06-28
SO-20250628-02254,S-1005,C-001,5,2025-06-28
SO-20250628-02255,S-1006,C-009,12,2025-06-28
SO-20250628-02256,S-1009,C-022,6,2025-06-28
SO-20250628-02257,S-1010,C-033,4,2025-06-28
SO-20250628-02258,S-1011,C-015,3,2025-06-28
SO-20250628-02259,S-1012,C-010,2,2025-06-28
SO-20250628-02260,S-1013,C-007,2,2025-06-28
SO-20250628-02261,S-1013,C-020,5,2025-06-28
SO-20250628-02262,S-1016,C-030,4,2025-06-28
SO-20250628-02263,S-1016,C-038,1,2025-06-28
SO-20250628-02264,S-1019,C-032,4,2025-06-28
SO-20250628-02265,S-1019,C-005,7,2025-06-28
SO-20250628-02266,S-1019,C-012,6,2025-06-28
SO-20250628-02267,S-1020,C-012,5,2025-06-28
SO-20250628-02268,S-1021,C-015,2,2025-06-28
SO-20250628-02269,S-1021,C-022,3,2025-06-28
SO-20250628-02270,S-1023,C-023,4,2025-06-28
SO-20250628-02271,S-1023,C-009,6,2025-06-28
SO-20250628-02272,S-1024,C-031,5,2025-06-28
SO-20250628-02273,S-1026,C-039,7,2025-06-28
SO-20250628-02274,S-1028,C-012,2,2025-06-28
SO-20250628-02275,S-1029,C-012,2,2025-06-28
SO-20250628-02276,S-1031,C-010,6,2025-06-28
SO-20250628-02277,S-1031,C-015,3,2025-06-28
SO-20250628-02278,S-1031,C-021,5,2025-06-28
SO-20250628-02279,S-1033,C-016,5,2025-06-28
SO-20250628-02280,S-1034,C-024,6,2025-06-28
SO-20250628-02281,S-1034,C-035,8,2025-06-28
SO-20250628-02282,S-1034,C-032,3,2025-06-28
SO-20250628-02283,S-1036,C-035,1,2025-06-28
SO-20250628-02284,S-1036,C-003,3,2025-06-28
SO-20250628-02285,S-1036,C-010,1,2025-06-28
SO-20250628-02286,S-1036,C-038,4,2025-06-28
SO-20250628-02287,S-1039,C-012,6,2025-06-28
SO-20250628-02288,S-1040,C-004,5,2025-06-28
SO-20250628-02289,S-1042,C-012,6,2025-06-28
SO-20250628-02290,S-1043,C-027,5,2025-06-28
SO-20250628-02291,S-1044,C-003,3,2025-06-28
SO-20250628-02292,S-1044,C-004,6,2025-06-28
SO-20250628-02293,S-1044,C-014,4,2025-06-28
SO-20250628-02294,S-1044,C-036,5,2025-06-28
SO-20250628-02295,S-1044,C-032,2,2025-06-28
SO-20250628-02296,S-1044,C-010,1,2025-06-28
SO-20250628-02297,S-1044,C-027,4,2025-06-28
SO-20250628-02298,S-1044,C-013,3,2025-06-28
SO-20250628-02299,S-1045,C-028,2,2025-06-28
SO-20250628-02300,S-1045,C-021,2,2025-06-28
SO-20250628-02301,S-1046,C-001,7,2025-06-28
SO-20250628-02302,S-1046,C-004,4,2025-06-28
SO-20250628-02303,S-1046,C-003,2,2025-06-28
SO-20250628-02304,S-1047,C-013,1,2025-06-28
SO-20250628-02305,S-1047,C-031,7,2025-06-28
SO-20250628-02306,S-1047,C-035,2,2025-06-28
SO-20250628-02307,S-1048,C-013,5,2025-06-28
SO-20250628-02308,S-1048,C-036,9,2025-06-28
SO-20250628-02309,S-1048,C-023,1,2025-06-28
SO-20250628-02310,S-1048,C-037,3,2025-06-28
SO-20250628-02311,S-1048,C-004,4,2025-06-28
SO-20250628-02312,S-1048,C-035,3,2025-06-28
SO-20250628-02313,S-1048,C-039,4,2025-06-28
SO-20250628-02314,S-1049,C-022,4,2025-06-28
SO-20250628-02315,S-1049,C-011,2,2025-06-28
SO-20250628-02316,S-1050,C-008,2,2025-06-28
SO-20250629-02317,S-1001,C-039,5,2025-06-29
SO-20250629-02318,S-1002,C-037,2,2025-06-29
SO-20250629-02319,S-1002,C-018,1,2025-06-29
SO-20250629-02320,S-1002,C-020,2,2025-06-29
SO-20250629-02321,S-1003,C-024,4,2025-06-29
SO-20250629-02322,S-1003,C-038,4,2025-06-29
SO-20250629-02323,S-1003,C-006,2,2025-06-29
SO-20250629-02324,S-1004,C-005,3,2025-06-29
SO-20250629-02325,S-1004,C-020,1,2025-06-29
SO-20250629-02326,S-1005,C-010,6,2025-06-29
SO-20250629-02327,S-1005,C-021,4,2025-06-29
SO-20250629-02328,S-1006,C-018,6,2025-06-29
SO-20250629-02329,S-1008,C-029,7,2025-06-29
SO-20250629-02330,S-1008,C-036,2,2025-06-29
SO-20250629-02331,S-1009,C-005,5,2025-06-29
SO-20250629-02332,S-1010,C-031,5,2025-06-29
SO-20250629-02333,S-1012,C-036,1,2025-06-29
SO-20250629-02334,S-1013,C-039,2,2025-06-29
SO-20250629-02335,S-1014,C-009,1,2025-06-29
SO-20250629-02336,S-1014,C-037,3,2025-06-29
SO-20250629-02337,S-1014,C-002,4,2025-06-29
SO-20250629-02338,S-1014,C-001,3,2025-06-29
SO-20250629-02339,S-1019,C-037,2,2025-06-29
SO-20250629-02340,S-1019,C-027,5,2025-06-29
SO-20250629-02341,S-1020,C-001,5,2025-06-29
SO-20250629-02342,S-1020,C-025,6,2025-06-29
SO-20250629-02343,S-1021,C-026,2,2025-06-29
SO-20250629-02344,S-1021,C-015,4,2025-06-29
SO-20250629-02345,S-1021,C-040,4,2025-06-29
SO-20250629-02346,S-1022,C-016,1,2025-06-29
SO-20250629-02347,S-1022,C-040,9,2025-06-29
SO-20250629-02348,S-1022,C-001,1,2025-06-29
SO-20250629-02349,S-1022,C-002,3,2025-06-29
SO-20250629-02350,S-1024,C-017,2,2025-06-29
SO-20250629-02351,S-1024,C-006,5,2025-06-29
SO-20250629-02352,S-1024,C-032,8,2025-06-29
SO-20250629-02353,S-1024,C-015,3,2025-06-29
SO-20250629-02354,S-1026,C-003,1,2025-06-29
SO-20250629-02355,S-1028,C-018,4,2025-06-29
SO-20250629-02356,S-1031,C-033,1,2025-06-29
SO-20250629-02357,S-1031,C-032,7,2025-06-29
SO-20250629-02358,S-1033,C-001,4,2025-06-29
SO-20250629-02359,S-1034,C-017,3,2025-06-29
SO-20250629-02360,S-1034,C-010,5,2025-06-29
SO-20250629-02361,S-1035,C-023,4,2025-06-29
SO-20250629-02362,S-1036,C-040,4,2025-06-29
SO-20250629-02363,S-1037,C-001,3,2025-06-29
SO-20250629-02364,S-1038,C-019,1,2025-06-29
SO-20250629-02365,S-1038,C-014,5,2025-06-29
SO-20250629-02366,S-1040,C-011,6,2025-06-29
SO-20250629-02367,S-1040,C-020,5,2025-06-29
SO-20250629-02368,S-1040,C-001,7,2025-06-29
SO-20250629-02369,S-1042,C-024,5,2025-06-29
SO-20250629-02370,S-1042,C-003,3,2025-06-29
SO-20250629-02371,S-1044,C-030,4,2025-06-29
SO-20250629-02372,S-1044,C-035,5,2025-06-29
SO-20250629-02373,S-1044,C-025,3,2025-06-29
SO-20250629-02374,S-1044,C-027,7,2025-06-29
SO-20250629-02375,S-1045,C-029,4,2025-06-29
SO-20250629-02376,S-1045,C-034,1,2025-06-29
SO-20250629-02377,S-1046,C-024,2,2025-06-29
SO-20250629-02378,S-1047,C-016,4,2025-06-29
SO-20250629-02379,S-1048,C-014,5,2025-06-29
SO-20250629-02380,S-1048,C-019,5,2025-06-29
SO-20250629-02381,S-1048,C-020,7,2025-06-29
SO-20250630-02382,S-1001,C-039,1,2025-06-30
SO-20250630-02383,S-1001,C-010,8,2025-06-30
SO-20250630-02384,S-1003,C-014,4,2025-06-30
SO-20250630-02385,S-1003,C-024,7,2025-06-30
SO-20250630-02386,S-1004,C-032,3,2025-06-30
SO-20250630-02387,S-1004,C-008,1,2025-06-30
SO-20250630-02388,S-1005,C-008,5,2025-06-30
SO-20250630-02389,S-1005,C-026,4,2025-06-30
SO-20250630-02390,S-1006,C-025,7,2025-06-30
SO-20250630-02391,S-1008,C-040,3,2025-06-30
SO-20250630-02392,S-1008,C-026,6,2025-06-30
SO-20250630-02393,S-1011,C-020,3,2025-06-30
SO-20250630-02394,S-1012,C-018,1,2025-06-30
SO-20250630-02395,S-1012,C-026,4,2025-06-30
SO-20250630-02396,S-1012,C-018,4,2025-06-30
SO-20250630-02397,S-1013,C-006,3,2025-06-30
SO-20250630-02398,S-1014,C-005,1,2025-06-30
SO-20250630-02399,S-1014,C-021,3,2025-06-30
SO-20250630-02400,S-1014,C-025,6,2025-06-30
SO-20250630-02401,S-1015,C-008,3,2025-06-30
SO-20250630-02402,S-1016,C-026,3,2025-06-30
SO-20250630-02403,S-1017,C-003,1,2025-06-30
SO-20250630-02404,S-1017,C-015,4,2025-06-30
SO-20250630-02405,S-1017,C-009,1,2025-06-30
SO-20250630-02406,S-1017,C-001,4,2025-06-30
SO-20250630-02407,S-1019,C-023,3,2025-06-30
SO-20250630-02408,S-1020,C-012,7,2025-06-30
SO-20250630-02409,S-1020,C-016,1,2025-06-30
SO-20250630-02410,S-1022,C-006,2,2025-06-30
SO-20250630-02411,S-1022,C-011,7,2025-06-30
SO-20250630-02412,S-1022,C-034,2,2025-06-30
SO-20250630-02413,S-1022,C-005,5,2025-06-30
SO-20250630-02414,S-1023,C-021,1,2025-06-30
SO-20250630-02415,S-1026,C-036,5,2025-06-30
SO-20250630-02416,S-1026,C-030,2,2025-06-30
SO-20250630-02417,S-1026,C-031,1,2025-06-30
SO-20250630-02418,S-1026,C-033,1,2025-06-30
SO-20250630-02419,S-1028,C-017,3,2025-06-30
SO-20250630-02420,S-1028,C-039,4,2025-06-30
SO-20250630-02421,S-1029,C-032,3,2025-06-30
SO-20250630-02422,S-1030,C-020,5,2025-06-30
SO-20250630-02423,S-1032,C-029,1,2025-06-30
SO-20250630-02424,S-1033,C-032,3,2025-06-30
SO-20250630-02425,S-1034,C-017,2,2025-06-30
SO-20250630-02426,S-1034,C-011,6,2025-06-30
SO-20250630-02427,S-1034,C-014,3,2025-06-30
SO-20250630-02428,S-1034,C-014,1,2025-06-30
SO-20250630-02429,S-1034,C-031,2,2025-06-30
SO-20250630-02430,S-1035,C-037,3,2025-06-30
SO-20250630-02431,S-1035,C-039,1,2025-06-30
SO-20250630-02432,S-1035,C-033,3,2025-06-30
SO-20250630-02433,S-1035,C-021,6,2025-06-30
SO-20250630-02434,S-1035,C-013,1,2025-06-30
SO-20250630-02435,S-1035,C-012,5,2025-06-30
SO-20250630-02436,S-1037,C-038,3,2025-06-30
SO-20250630-02437,S-1039,C-031,5,2025-06-30
SO-20250630-02438,S-1040,C-020,1,2025-06-30
SO-20250630-02439,S-1041,C-021,3,2025-06-30
SO-20250630-02440,S-1042,C-003,5,2025-06-30
SO-20250630-02441,S-1042,C-004,4,2025-06-30
SO-20250630-02442,S-1044,C-005,3,2025-06-30
SO-20250630-02443,S-1045,C-007,2,2025-06-30
SO-20250630-02444,S-1047,C-001,2,2025-06-30
SO-20250630-02445,S-1048,C-004,4,2025-06-30
SO-20250630-02446,S-1048,C-026,2,2025-06-30
SO-20250630-02447,S-1048,C-035,2,2025-06-30
SO-20250630-02448,S-1048,C-012,3,2025-06-30
SO-20250630-02449,S-1048,C-031,5,2025-06-30
SO-20250630-02450,S-1049,C-018,4,2025-06-30
SO-20250701-02451,S-1001,C-028,7,2025-07-01
SO-20250701-02452,S-1001,C-023,5,2025-07-01
SO-20250701-02453,S-1001,C-002,4,2025-07-01
SO-20250701-02454,S-1001,C-037,4,2025-07-01
SO-20250701-02455,S-1002,C-033,5,2025-07-01
SO-20250701-02456,S-1002,C-009,3,2025-07-01
SO-20250701-02457,S-1002,C-002,6,2025-07-01
SO-20250701-02458,S-1002,C-038,5,2025-07-01
SO-20250701-02459,S-1002,C-026,4,2025-07-01
SO-20250701-02460,S-1002,C-036,4,2025-07-01
SO-20250701-02461,S-1002,C-020,2,2025-07-01
SO-20250701-02462,S-1003,C-004,4,2025-07-01
SO-20250701-02463,S-1004,C-016,1,2025-07-01
SO-20250701-02464,S-1005,C-035,4,2025-07-01
SO-20250701-02465,S-1005,C-036,5,2025-07-01
SO-20250701-02466,S-1005,C-016,8,2025-07-01
SO-20250701-02467,S-1005,C-032,1,2025-07-01
SO-20250701-02468,S-1006,C-024,4,2025-07-01
SO-20250701-02469,S-1008,C-003,6,2025-07-01
SO-20250701-02470,S-1010,C-031,6,2025-07-01
SO-20250701-02471,S-1012,C-003,3,2025-07-01
SO-20250701-02472,S-1012,C-020,5,2025-07-01
SO-20250701-02473,S-1014,C-015,3,2025-07-01
SO-20250701-02474,S-1014,C-011,1,2025-07-01
SO-20250701-02475,S-1016,C-023,5,2025-07-01
SO-20250701-02476,S-1016,C-001,2,2025-07-01
SO-20250701-02477,S-1017,C-005,3,2025-07-01
SO-20250701-02478,S-1017,C-031,3,2025-07-01
SO-20250701-02479,S-1017,C-019,6,2025-07-01
SO-20250701-02480,S-1018,C-024,9,2025-07-01
SO-20250701-02481,S-1021,C-014,5,2025-07-01
SO-20250701-02482,S-1021,C-013,5,2025-07-01
SO-20250701-02483,S-1022,C-025,3,2025-07-01
SO-20250701-02484,S-1022,C-038,4,2025-07-01
SO-20250701-02485,S-1022,C-014,4,2025-07-01
SO-20250701-02486,S-1022,C-007,1,2025-07-01
SO-20250701-02487,S-1022,C-033,8,2025-07-01
SO-20250701-02488,S-1022,C-021,3,2025-07-01
SO-20250701-02489,S-1022,C-007,4,2025-07-01
SO-20250701-02490,S-1022,C-029,1,2025-07-01
SO-20250701-02491,S-1023,C-003,3,2025-07-01
SO-20250701-02492,S-1024,C-015,4,2025-07-01
SO-20250701-02493,S-1025,C-005,5,2025-07-01
SO-20250701-02494,S-1026,C-034,7,2025-07-01
SO-20250701-02495,S-1026,C-001,2,2025-07-01
SO-20250701-02496,S-1026,C-005,5,2025-07-01
SO-20250701-02497,S-1026,C-007,4,2025-07-01
SO-20250701-02498,S-1029,C-022,2,2025-07-01
SO-20250701-02499,S-1029,C-037,5,2025-07-01
SO-20250701-02500,S-1030,C-038,1,2025-07-01
SO-20250701-02501,S-1031,C-011,4,2025-07-01
SO-20250701-02502,S-1035,C-007,4,2025-07-01
SO-20250701-02503,S-1035,C-015,1,2025-07-01
SO-20250701-02504,S-1035,C-016,2,2025-07-01
SO-20250701-02505,S-1036,C-011,2,2025-07-01
SO-20250701-02506,S-1036,C-006,4,2025-07-01
SO-20250701-02507,S-1038,C-018,2,2025-07-01
SO-20250701-02508,S-1040,C-038,5,2025-07-01
SO-20250701-02509,S-1040,C-027,1,2025-07-01
SO-20250701-02510,S-1042,C-009,2,2025-07-01
SO-20250701-02511,S-1042,C-002,1,2025-07-01
SO-20250701-02512,S-1043,C-017,5,2025-07-01
SO-20250701-02513,S-1044,C-018,6,2025-07-01
SO-20250701-02514,S-1044,C-001,5,2025-07-01
SO-20250701-02515,S-1044,C-037,5,2025-07-01
SO-20250701-02516,S-1045,C-015,3,2025-07-01
SO-20250701-02517,S-1046,C-016,4,2025-07-01
SO-20250701-02518,S-1047,C-017,3,2025-07-01
SO-20250701-02519,S-1047,C-001,4,2025-07-01
SO-20250701-02520,S-1047,C-037,1,2025-07-01
SO-20250701-02521,S-1048,C-031,4,2025-07-01
SO-20250701-02522,S-1048,C-001,3,2025-07-01
SO-20250701-02523,S-1048,C-021,1,2025-07-01
SO-20250701-02524,S-1048,C-032,7,2025-07-01
SO-20250701-02525,S-1048,C-009,6,2025-07-01
SO-20250701-02526,S-1048,C-028,8,2025-07-01
SO-20250701-02527,S-1048,C-024,6,2025-07-01
SO-20250701-02528,S-1048,C-038,3,2025-07-01
SO-20250701-02529,S-1049,C-008,4,2025-07-01
SO-20250701-02530,S-1050,C-023,3,2025-07-01
SO-20250702-02531,S-1002,C-039,2,2025-07-02
SO-20250702-02532,S-1002,C-005,6,2025-07-02
SO-20250702-02533,S-1002,C-017,3,2025-07-02
SO-20250702-02534,S-1002,C-008,4,2025-07-02
SO-20250702-02535,S-1003,C-034,3,2025-07-02
SO-20250702-02536,S-1003,C-036,1,2025-07-02
SO-20250702-02537,S-1003,C-040,1,2025-07-02
SO-20250702-02538,S-1003,C-002,2,2025-07-02
SO-20250702-02539,S-1003,C-012,4,2025-07-02
SO-20250702-02540,S-1003,C-002,4,2025-07-02
SO-20250702-02541,S-1004,C-031,2,2025-07-02
SO-20250702-02542,S-1005,C-035,4,2025-07-02
SO-20250702-02543,S-1005,C-021,4,2025-07-02
SO-20250702-02544,S-1005,C-032,2,2025-07-02
SO-20250702-02545,S-1005,C-037,1,2025-07-02
SO-20250702-02546,S-1005,C-002,6,2025-07-02
SO-20250702-02547,S-1006,C-038,7,2025-07-02
SO-20250702-02548,S-1006,C-028,5,2025-07-02
SO-20250702-02549,S-1008,C-016,5,2025-07-02
SO-20250702-02550,S-1008,C-021,1,2025-07-02
SO-20250702-02551,S-1010,C-029,6,2025-07-02
SO-20250702-02552,S-1011,C-014,2,2025-07-02
SO-20250702-02553,S-1011,C-007,3,2025-07-02
SO-20250702-02554,S-1011,C-009,2,2025-07-02
SO-20250702-02555,S-1011,C-036,4,2025-07-02
SO-20250702-02556,S-1011,C-010,5,2025-07-02
SO-20250702-02557,S-1012,C-017,5,2025-07-02
SO-20250702-02558,S-1012,C-031,6,2025-07-02
SO-20250702-02559,S-1013,C-010,6,2025-07-02
SO-20250702-02560,S-1014,C-036,4,2025-07-02
SO-20250702-02561,S-1014,C-017,1,2025-07-02
SO-20250702-02562,S-1014,C-002,1,2025-07-02
SO-20250702-02563,S-1015,C-015,3,2025-07-02
SO-20250702-02564,S-1016,C-020,1,2025-07-02
SO-20250702-02565,S-1018,C-022,4,2025-07-02
SO-20250702-02566,S-1020,C-014,5,2025-07-02
SO-20250702-02567,S-1020,C-011,4,2025-07-02
SO-20250702-02568,S-1021,C-010,3,2025-07-02
SO-20250702-02569,S-1021,C-030,1,2025-07-02
SO-20250702-02570,S-1021,C-033,4,2025-07-02
SO-20250702-02571,S-1022,C-032,3,2025-07-02
SO-20250702-02572,S-1022,C-015,2,2025-07-02
SO-20250702-02573,S-1022,C-002,6,2025-07-02
SO-20250702-02574,S-1022,C-035,4,2025-07-02
SO-20250702-02575,S-1022,C-016,7,2025-07-02
SO-20250702-02576,S-1023,C-029,5,2025-07-02
SO-20250702-02577,S-1023,C-016,4,2025-07-02
SO-20250702-02578,S-1024,C-017,1,2025-07-02
SO-20250702-02579,S-1024,C-028,3,2025-07-02
SO-20250702-02580,S-1026,C-014,2,2025-07-02
SO-20250702-02581,S-1026,C-014,1,2025-07-02
SO-20250702-02582,S-1026,C-008,6,2025-07-02
SO-20250702-02583,S-1026,C-020,3,2025-07-02
SO-20250702-02584,S-1028,C-013,1,2025-07-02
SO-20250702-02585,S-1028,C-027,1,2025-07-02
SO-20250702-02586,S-1029,C-003,5,2025-07-02
SO-20250702-02587,S-1029,C-003,4,2025-07-02
SO-20250702-02588,S-1030,C-014,2,2025-07-02
SO-20250702-02589,S-1030,C-016,5,2025-07-02
SO-20250702-02590,S-1031,C-015,3,2025-07-02
SO-20250702-02591,S-1031,C-015,2,2025-07-02
SO-20250702-02592,S-1031,C-025,1,2025-07-02
SO-20250702-02593,S-1031,C-010,1,2025-07-02
SO-20250702-02594,S-1032,C-017,3,2025-07-02
SO-20250702-02595,S-1033,C-022,4,2025-07-02
SO-20250702-02596,S-1033,C-001,4,2025-07-02
SO-20250702-02597,S-1034,C-016,4,2025-07-02
SO-20250702-02598,S-1034,C-035,6,2025-07-02
SO-20250702-02599,S-1034,C-036,3,2025-07-02
SO-20250702-02600,S-1034,C-034,5,2025-07-02
SO-20250702-02601,S-1035,C-027,1,2025-07-02
SO-20250702-02602,S-1039,C-022,8,2025-07-02
SO-20250702-02603,S-1040,C-023,5,2025-07-02
SO-20250702-02604,S-1040,C-016,4,2025-07-02
SO-20250702-02605,S-1041,C-032,4,2025-07-02
SO-20250702-02606,S-1042,C-004,3,2025-07-02
SO-20250702-02607,S-1042,C-039,2,2025-07-02
SO-20250702-02608,S-1043,C-006,1,2025-07-02
SO-20250702-02609,S-1044,C-014,2,2025-07-02
SO-20250702-02610,S-1044,C-009,4,2025-07-02
SO-20250702-02611,S-1044,C-013,3,2025-07-02
SO-20250702-02612,S-1045,C-018,3,2025-07-02
SO-20250702-02613,S-1045,C-009,3,2025-07-02
SO-20250702-02614,S-1045,C-020,1,2025-07-02
SO-20250702-02615,S-1048,C-023,4,2025-07-02
SO-20250702-02616,S-1048,C-019,5,2025-07-02
SO-20250702-02617,S-1048,C-010,5,2025-07-02
SO-20250702-02618,S-1048,C-031,4,2025-07-02
SO-20250702-02619,S-1048,C-035,7,2025-07-02
SO-20250702-02620,S-1048,C-018,5,2025-07-02
SO-20250702-02621,S-1048,C-035,5,2025-07-02
SO-20250702-02622,S-1048,C-026,4,2025-07-02
SO-20250702-02623,S-1048,C-036,8,2025-07-02
SO-20250702-02624,S-1048,C-011,4,2025-07-02
SO-20250702-02625,S-1048,C-036,3,2025-07-02
SO-20250702-02626,S-1049,C-029,3,2025-07-02
SO-20250702-02627,S-1049,C-034,2,2025-07-02
SO-20250703-02628,S-1001,C-010,3,2025-07-03
SO-20250703-02629,S-1001,C-016,2,2025-07-03
SO-20250703-02630,S-1002,C-029,5,2025-07-03
SO-20250703-02631,S-1002,C-006,3,2025-07-03
SO-20250703-02632,S-1002,C-018,5,2025-07-03
SO-20250703-02633,S-1002,C-003,4,2025-07-03
